frequency_hz,normalized_trace_db,insertion_loss_db
950000000.0,-1.987305,1.987305
951600000.0,-1.90918,1.90918
953200000.0,-1.914062,1.914062
954800000.0,-1.928711,1.928711
956400000.0,-1.855469,1.855469
958000000.0,-1.889648,1.889648
959600000.0,-1.845703,1.845703
961200000.0,-1.816406,1.816406
962800000.0,-1.806641,1.806641
964400000.0,-1.777344,1.777344
966000000.0,-1.713867,1.713867
967600000.0,-1.694336,1.694336
969200000.0,-1.601562,1.601562
970800000.0,-1.5625,1.5625
972400000.0,-1.499023,1.499023
974000000.0,-1.489258,1.489258
975600000.0,-1.44043,1.44043
977200000.0,-1.411133,1.411133
978800000.0,-1.39625,1.39625
980400000.0,-1.37207,1.37207
982000000.0,-1.337891,1.337891
983600000.0,-1.308594,1.308594
985200000.0,-1.28418,1.28418
986800000.0,-1.308594,1.308594
988400000.0,-1.303711,1.303711
990000000.0,-1.269531,1.269531
991600000.0,-1.298828,1.298828
993200000.0,-1.274414,1.274414
994800000.0,-1.279297,1.279297
996400000.0,-1.293945,1.293945
998000000.0,-1.323242,1.323242
999600000.0,-1.328125,1.328125
1001200000.0,-1.328125,1.328125
1002800000.0,-1.357422,1.357422
1004400000.0,-1.416016,1.416016
1006000000.0,-1.44043,1.44043
1007600000.0,-1.455078,1.455078
1009200000.0,-1.513672,1.513672
1010800000.0,-1.538086,1.538086
1012400000.0,-1.567383,1.567383
1014000000.0,-1.582031,1.582031
1015600000.0,-1.630859,1.630859
1017200000.0,-1.669922,1.669922
1018800000.0,-1.713867,1.713867
1020400000.0,-1.772461,1.772461
1022000000.0,-1.796875,1.796875
1023600000.0,-1.811758,1.811758
1025200000.0,-1.826172,1.826172
1026800000.0,-1.870117,1.870117
1028400000.0,-1.933594,1.933594
1030000000.0,-1.918945,1.918945
1031600000.0,-1.992188,1.992188
1033200000.0,-1.962891,1.962891
1034800000.0,-2.006836,2.006836
1036400000.0,-1.99707,1.99707
1038000000.0,-2.021484,2.021484
1039600000.0,-2.036133,2.036133
1041200000.0,-2.036133,2.036133
1042800000.0,-2.011719,2.011719
1044400000.0,-2.016602,2.016602
1046000000.0,-2.006836,2.006836
1047600000.0,-2.001953,2.001953
1049200000.0,-1.967773,1.967773
1050800000.0,-1.967773,1.967773
1052400000.0,-1.918945,1.918945
1054000000.0,-1.90918,1.90918
1055600000.0,-1.870117,1.870117
1057200000.0,-1.850586,1.850586
1058800000.0,-1.786406,1.786406
1060400000.0,-1.777344,1.777344
1062000000.0,-1.772461,1.772461
1063600000.0,-1.718047,1.718047
1065200000.0,-1.68457,1.68457
1066800000.0,-1.650391,1.650391
1068400000.0,-1.616211,1.616211
1070000000.0,-1.625977,1.625977
1071600000.0,-1.552734,1.552734
1073200000.0,-1.542969,1.542969
1074800000.0,-1.542969,1.542969
1076400000.0,-1.547852,1.547852
1078000000.0,-1.503906,1.503906
1079600000.0,-1.479492,1.479492
1081200000.0,-1.464844,1.464844
1082800000.0,-1.494141,1.494141
1084400000.0,-1.455078,1.455078
1086000000.0,-1.464844,1.464844
1087600000.0,-1.459961,1.459961
1089200000.0,-1.459961,1.459961
1090800000.0,-1.464844,1.464844
1092400000.0,-1.455078,1.455078
1094000000.0,-1.474609,1.474609
1095600000.0,-1.503906,1.503906
1097200000.0,-1.435547,1.435547
1098800000.0,-1.523672,1.523672
1100400000.0,-1.494141,1.494141
1102000000.0,-1.489258,1.489258
1103600000.0,-1.469727,1.469727
1105200000.0,-1.52832,1.52832
1106800000.0,-1.499023,1.499023
1108400000.0,-1.479492,1.479492
1110000000.0,-1.445312,1.445312
1111600000.0,-1.411133,1.411133
1113200000.0,-1.396719,1.396719
1114800000.0,-1.420898,1.420898
1116400000.0,-1.396484,1.396484
1118000000.0,-1.362305,1.362305
1119600000.0,-1.328125,1.328125
1121200000.0,-1.303711,1.303711
1122800000.0,-1.293945,1.293945
1124400000.0,-1.264648,1.264648
1126000000.0,-1.21582,1.21582
1127600000.0,-1.152344,1.152344
1129200000.0,-1.088867,1.088867
1130800000.0,-1.083984,1.083984
1132400000.0,-1.044922,1.044922
1134000000.0,-0.9960938,0.9960938
1135600000.0,-0.9228516,0.9228516
1137200000.0,-0.9814453,0.9814453
1138800000.0,-0.9033203,0.9033203
1140400000.0,-0.8740234,0.8740234
1142000000.0,-0.8398438,0.8398438
1143600000.0,-0.8154297,0.8154297
1145200000.0,-0.7958984,0.7958984
1146800000.0,-0.7568359,0.7568359
1148400000.0,-0.7958984,0.7958984
1150000000.0,-0.8056641,0.8056641
1151600000.0,-0.8056641,0.8056641
1153200000.0,-0.8154297,0.8154297
1154800000.0,-0.8789062,0.8789062
1156400000.0,-0.8789062,0.8789062
1158000000.0,-0.9277344,0.9277344
1159600000.0,-0.9716797,0.9716797
1161200000.0,-0.9912109,0.9912109
1162800000.0,-1.030273,1.030273
1164400000.0,-1.171875,1.171875
1166000000.0,-1.196289,1.196289
1167600000.0,-1.293945,1.293945
1169200000.0,-1.445312,1.445312
1170800000.0,-1.533203,1.533203
1172400000.0,-1.586914,1.586914
1174000000.0,-1.762695,1.762695
1175600000.0,-1.879883,1.879883
1177200000.0,-1.962891,1.962891
1178800000.0,-2.158203,2.158203
1180400000.0,-2.236328,2.236328
1182000000.0,-2.333984,2.333984
1183600000.0,-2.460938,2.460938
1185200000.0,-2.597656,2.597656
1186800000.0,-2.724609,2.724609
1188400000.0,-2.783203,2.783203
1190000000.0,-2.871094,2.871094
1191600000.0,-2.988281,2.988281
1193200000.0,-3.071289,3.071289
1194800000.0,-3.081055,3.081055
1196400000.0,-3.208008,3.208008
1198000000.0,-3.261719,3.261719
1199600000.0,-3.295898,3.295898
1201200000.0,-3.320312,3.320312
1202800000.0,-3.359375,3.359375
1204400000.0,-3.40332,3.40332
1206000000.0,-3.4375,3.4375
1207600000.0,-3.422852,3.422852
1209200000.0,-3.486328,3.486328
1210800000.0,-3.4375,3.4375
1212400000.0,-3.383789,3.383789
1214000000.0,-3.432617,3.432617
1215600000.0,-3.422852,3.422852
1217200000.0,-3.374023,3.374023
1218800000.0,-3.334961,3.334961
1220400000.0,-3.369141,3.369141
1222000000.0,-3.349609,3.349609
1223600000.0,-3.310547,3.310547
1225200000.0,-3.266602,3.266602
1226800000.0,-3.168945,3.168945
1228400000.0,-3.178477,3.178477
1230000000.0,-3.120117,3.120117
1231600000.0,-3.149414,3.149414
1233200000.0,-3.061523,3.061523
1234800000.0,-3.076172,3.076172
1236400000.0,-3.00293,3.00293
1238000000.0,-2.998047,2.998047
1239600000.0,-2.929688,2.929688
1241200000.0,-2.895508,2.895508
1242800000.0,-2.895508,2.895508
1244400000.0,-2.841797,2.841797
1246000000.0,-2.856445,2.856445
1247600000.0,-2.817383,2.817383
1249200000.0,-2.744141,2.744141
1250800000.0,-2.739258,2.739258
1252400000.0,-2.714844,2.714844
1254000000.0,-2.65625,2.65625
1255600000.0,-2.587891,2.587891
1257200000.0,-2.529297,2.529297
1258800000.0,-2.441406,2.441406
1260400000.0,-2.397461,2.397461
1262000000.0,-2.30957,2.30957
1263600000.0,-2.329102,2.329102
1265200000.0,-2.22168,2.22168
1266800000.0,-2.177734,2.177734
1268400000.0,-2.124023,2.124023
1270000000.0,-1.99707,1.99707
1271600000.0,-1.884766,1.884766
1273200000.0,-1.855703,1.855703
1274800000.0,-1.743164,1.743164
1276400000.0,-1.611328,1.611328
1278000000.0,-1.577148,1.577148
1279600000.0,-1.474609,1.474609
1281200000.0,-1.416016,1.416016
1282800000.0,-1.342773,1.342773
1284400000.0,-1.196289,1.196289
1286000000.0,-1.157227,1.157227
1287600000.0,-1.05957,1.05957
1289200000.0,-1.000977,1.000977
1290800000.0,-0.9130859,0.9130859
1292400000.0,-0.8789062,0.8789062
1294000000.0,-0.8642578,0.8642578
1295600000.0,-0.8740234,0.8740234
1297200000.0,-0.8740234,0.8740234
1298800000.0,-0.8544922,0.8544922
1300400000.0,-0.8691406,0.8691406
1302000000.0,-0.8935547,0.8935547
1303600000.0,-1.005859,1.005859
1305200000.0,-1.064453,1.064453
1306800000.0,-1.108398,1.108398
1308400000.0,-1.137695,1.137695
1310000000.0,-1.279297,1.279297
1311600000.0,-1.381836,1.381836
1313200000.0,-1.52832,1.52832
1314800000.0,-1.621094,1.621094
1316400000.0,-1.743164,1.743164
1318000000.0,-1.816406,1.816406
1319600000.0,-1.972656,1.972656
1321200000.0,-2.026367,2.026367
1322800000.0,-2.094727,2.094727
1324400000.0,-2.15332,2.15332
1326000000.0,-2.324219,2.324219
1327600000.0,-2.436523,2.436523
1329200000.0,-2.475586,2.475586
1330800000.0,-2.539062,2.539062
1332400000.0,-2.578125,2.578125
1334000000.0,-2.734375,2.734375
1335600000.0,-2.875977,2.875977
1337200000.0,-3.022461,3.022461
1338800000.0,-3.173828,3.173828
1340400000.0,-3.325195,3.325195
1342000000.0,-3.47168,3.47168
1343600000.0,-3.667461,3.667461
1345200000.0,-3.828125,3.828125
1346800000.0,-4.067383,4.067383
1348400000.0,-4.292461,4.292461
1350000000.0,-4.521484,4.521484
1351600000.0,-4.667969,4.667969
1353200000.0,-4.858633,4.858633
1354800000.0,-5.03418,5.03418
1356400000.0,-5.209961,5.209961
1358000000.0,-5.400859,5.400859
1359600000.0,-5.512695,5.512695
1361200000.0,-5.65918,5.65918
1362800000.0,-5.800781,5.800781
1364400000.0,-5.878906,5.878906
1366000000.0,-5.864258,5.864258
1367600000.0,-6.044922,6.044922
1369200000.0,-5.981445,5.981445
1370800000.0,-6.064453,6.064453
1372400000.0,-6.015625,6.015625
1374000000.0,-6.035156,6.035156
1375600000.0,-5.996094,5.996094
1377200000.0,-6.000977,6.000977
1378800000.0,-6.010742,6.010742
1380400000.0,-5.893555,5.893555
1382000000.0,-5.864258,5.864258
1383600000.0,-5.664062,5.664062
1385200000.0,-5.717773,5.717773
1386800000.0,-5.546875,5.546875
1388400000.0,-5.429688,5.429688
1390000000.0,-5.341797,5.341797
1391600000.0,-5.302734,5.302734
1393200000.0,-5.234609,5.234609
1394800000.0,-5.126953,5.126953
1396400000.0,-5.053711,5.053711
1398000000.0,-4.882812,4.882812
1399600000.0,-4.868164,4.868164
1401200000.0,-4.80957,4.80957
1402800000.0,-4.648438,4.648438
1404400000.0,-4.555664,4.555664
1406000000.0,-4.56543,4.56543
1407600000.0,-4.448242,4.448242
1409200000.0,-4.360352,4.360352
1410800000.0,-4.306641,4.306641
1412400000.0,-4.213867,4.213867
1414000000.0,-4.140625,4.140625
1415600000.0,-4.042969,4.042969
1417200000.0,-3.989258,3.989258
1418800000.0,-3.955078,3.955078
1420400000.0,-3.87207,3.87207
1422000000.0,-3.774414,3.774414
1423600000.0,-3.671875,3.671875
1425200000.0,-3.662109,3.662109
1426800000.0,-3.71582,3.71582
1428400000.0,-3.549805,3.549805
1430000000.0,-3.476562,3.476562
1431600000.0,-3.408203,3.408203
1433200000.0,-3.393555,3.393555
1434800000.0,-3.334961,3.334961
1436400000.0,-3.251953,3.251953
1438000000.0,-3.203125,3.203125
1439600000.0,-3.15918,3.15918
1441200000.0,-3.15918,3.15918
1442800000.0,-3.066406,3.066406
1444400000.0,-3.017578,3.017578
1446000000.0,-2.963867,2.963867
1447600000.0,-2.93457,2.93457
1449200000.0,-2.875977,2.875977
1450800000.0,-2.822266,2.822266
1452400000.0,-2.797852,2.797852
1454000000.0,-2.822266,2.822266
1455600000.0,-2.719727,2.719727
1457200000.0,-2.783203,2.783203
1458800000.0,-2.729492,2.729492
1460400000.0,-2.77832,2.77832
1462000000.0,-2.768555,2.768555
1463600000.0,-2.792969,2.792969
1465200000.0,-2.807617,2.807617
1466800000.0,-2.890625,2.890625
1468400000.0,-2.895508,2.895508
1470000000.0,-2.93457,2.93457
1471600000.0,-3.061523,3.061523
1473200000.0,-3.085703,3.085703
